Title,Image,URL,Byline,Subtitle,Access,Type
British MPs approve assisted dying bill in historic step,https://img.lemde.fr/2025/06/20/0/0/5899/3933/398/265/75/0/0e589a9_ftp-import-images-1-acntmpko6i1z-2025-06-20t135818z-1234869756-rc2d6fawo5ap-rtrmadp-3-britain-assisted-dying.JPG,https://www.lemonde.fr/en/international/article/2025/06/20/british-mps-approve-assisted-dying-bill-in-historic-step_6742539_4.html,Isabel Infantes / REUTERS,No subtitle,Free to read,Type not labeled
European powers urge Iran to continue nuclear talks with US,https://img.lemde.fr/2025/06/20/0/0/6000/4000/398/265/75/0/434dc97_ftp-import-images-1-jszzr4ssrfr6-2025-06-20t174610z-606608034-rc2h6fa7kh7x-rtrmadp-3-iran-nuclear-europe.JPG,https://www.lemonde.fr/en/international/article/2025/06/20/european-powers-urge-iran-to-continue-us-nuclear-talks_6742554_4.html,Denis Balibouse / REUTERS,No subtitle,Free to read,Type not labeled
"In Sweden, Europe's first decarbonized steel mill rises, stirring hope and doubt",https://img.lemde.fr/2025/06/18/0/422/3240/2160/398/265/75/0/e6c78a3_upload-1-l1l8hlihkcos-2025-05-drone-dri-tower-and-steel-mill.jpg,https://www.lemonde.fr/en/economy/article/2025/06/20/in-sweden-europe-s-first-decarbonized-steel-mill-rises-stirring-hope-and-doubt_6742547_19.html,Stegra,"Eighty kilometers from the Arctic Circle, the Stegra plant is set to produce steel from 'green' hydrogen by late 2026. However, government reluctance is making the project's realization harder than expected.",Subscribers only,Type not labeled
Blanketing an entire continent with forests: Why planting trees cannot make up for fossil fuel emissions,https://img.lemde.fr/2025/06/19/0/0/1989/1326/398/265/75/0/4e5eae0_upload-1-sifbr6nn7q1m-000-46282g2.jpg,https://www.lemonde.fr/en/environment/article/2025/06/20/blanketing-an-entire-continent-with-forests-why-planting-trees-cannot-make-up-for-fossil-fuel-emissions_6742540_114.html,STR / AFP,"A new study assesses the cost of carbon offsetting, a practice increasingly used by oil and gas companies, and calculates the amount of land that would need to be covered with forests if all coal, oil, and gas reserves worldwide were burned.",Subscribers only,Type not labeled
Beyoncé brings Texas flair to Stade de France,https://img.lemde.fr/2025/06/20/143/0/3662/2441/398/265/75/0/d54b527_upload-1-cegch6hlmrxo-004-20250619-cct-paris-dakdouk-jd2-063487-web.jpg,https://www.lemonde.fr/en/culture/article/2025/06/20/beyonce-brings-texas-flair-to-stade-de-france_6742557_30.html,PARKWOOD ENTERTAINMENT,"The American superstar performed the first of three concerts at the arena in Saint-Denis on Thursday. The show centered on tracks from her latest album, Cowboy Carter.",Subscribers only,Type not labeled
"Paris extends summer bar and restaurant terrace hours, angering noise-weary neighbors",https://img.lemde.fr/2025/06/20/1/0/5120/3413/664/442/75/0/a7a6656_upload-1-bydzx6xkq76o-000-9ac44b.jpg,No url,No credit,"The measure, which starts on June 21 and lasts until September 14, also faces criticism from right-wing and centrist opposition members on the city council of the French capital.",Subscribers only,Type not labeled
US judge orders release of pro-Palestinian Columbia student Mahmoud Khalil,https://img.lemde.fr/2025/06/20/0/0/3999/2666/198/132/95/0/d711585_ftp-import-images-1-vyj5ktxsh5ar-2025-06-20t181717z-2109213645-rc2ahdag1pdg-rtrmadp-3-usa-trump-columbia-khalil.JPG,https://www.lemonde.fr/en/international/article/2025/06/20/us-judge-orders-release-of-pro-palestinian-columbia-student-mahmoud-khalil_6742555_4.html,No credit,No subtitle,Free to read,Type not labeled
EU review suggests Israel in breach of cooperation deal over Gaza,https://img.lemde.fr/2025/06/19/0/58/5883/3922/198/132/95/0/7e50b48_ftp-import-images-1-7q4dkhz39oen-2025-06-19t144135z-1362767379-rc2nfdarw46w-rtrmadp-3-eu-budget.JPG,https://www.lemonde.fr/en/international/article/2025/06/20/eu-review-suggests-israel-in-breach-of-cooperation-deal-over-gaza_6742552_4.html,No credit,No subtitle,Free to read,Type not labeled
The dashed hopes of France's left-wing alliance,https://img.lemde.fr/2025/06/10/764/409/3530/2353/198/132/95/0/eab1f5b_sirius-fs-upload-1-jz1i9ar6dw0l-1749566937903-jmug240823020.jpg,https://www.lemonde.fr/en/france/article/2025/06/20/the-dashed-hopes-of-france-s-left-wing-alliance_6742534_7.html,No credit,No subtitle,Subscribers only,Type not labeled
Armenia PM hails talks with Erdogan during 'historic' visit to Turkey,https://img.lemde.fr/2025/06/20/88/0/3213/2142/198/132/95/0/2675a90_ftp-import-images-1-ibown6hhtxep-2025-06-20t164002z-1049998476-rc2g6fawat2p-rtrmadp-3-turkey-armenia.JPG,https://www.lemonde.fr/en/international/article/2025/06/20/armenia-pm-arrives-in-turkey-for-historic-visit-in-bid-to-mend-ties_6742535_4.html,No credit,No subtitle,Free to read,Type not labeled
Iran's leaders cut internet access to outside world,No image,https://www.lemonde.fr/en/international/article/2025/06/20/iran-s-leaders-cut-internet-access-to-outside-world_6742544_4.html,No credit,No subtitle,Subscribers only,Type not labeled
"Kevin Durant buys minority stake in PSG, eyes global expansion with Qatari owners",No image,https://www.lemonde.fr/en/sports/article/2025/06/20/kevin-durant-buys-minority-stake-in-psg-eyes-global-expansion-with-qatari-owners_6742556_9.html,No credit,No subtitle,Free to read,Type not labeled
"Banned from Paris Air Show, Israeli defense firms are both frustrated and powerless",No image,https://www.lemonde.fr/en/economy/article/2025/06/20/banned-from-paris-air-show-israeli-defense-firms-are-both-frustrated-and-powerless_6742545_19.html,No credit,No subtitle,Subscribers only,Type not labeled
"Guy Savoy, Michelin-starred chef: 'At 15, I spent all my summer holidays cooking at a refreshment stand'",No image,https://www.lemonde.fr/en/m-le-mag/article/2025/06/20/guy-savoy-michelin-starred-chef-at-15-i-spent-all-my-summer-holidays-cooking-at-a-refreshment-stand_6742548_117.html,No credit,No subtitle,Subscribers only,Type not labeled
Wolfgang Tillmans' photography in action,No image,https://www.lemonde.fr/en/m-le-mag/article/2025/06/20/wolfgang-tillmans-photography-in-action_6742521_117.html,No credit,No subtitle,Subscribers only,Type not labeled
Health officials issue warnings as UK bakes in the first heat wave of 2025,No image,https://www.lemonde.fr/en/united-kingdom/article/2025/06/20/health-officials-issue-warnings-as-uk-bakes-in-the-first-heat-wave-of-2025_6742549_135.html,No credit,No subtitle,Free to read,Type not labeled
Champagne region employer faces prison sentence in human trafficking trial,No image,https://www.lemonde.fr/en/france/article/2025/06/20/champagne-region-employer-faces-prison-sentence-in-human-trafficking-trial_6742543_7.html,No credit,No subtitle,Free to read,Type not labeled
Free the knees! A plea for shorts at the office,No image,https://www.lemonde.fr/en/our-times/article/2025/06/19/free-the-knees-a-plea-for-shorts-at-the-office_6742513_39.html,No credit,No subtitle,Free to read,Type not labeled
How Trump broke with his strategic allies to side with Russia over Ukraine,https://img.lemde.fr/2025/06/19/64/0/5402/3601/664/442/75/0/391f03d_upload-1-mewnrhpwfqpz-000-468a8zr.jpg,No url,No credit,"'The Transatlantic Divorce' (5/5). After Barack Obama stepped back during the 2014 annexation of Crimea and Joe Biden hesitated, Donald Trump, now back in the White House, aligned himself with Russia at the UN and left his strategic allies alone to face Vladimir Putin.",Subscribers only,Type not labeled
How close is Iran to having nuclear weapons?,https://img.lemde.fr/2025/06/16/637/0/6013/4008/664/442/75/0/a76e4e4_ftp-import-images-1-6ntelxci56ew-2025-06-16t131605z-1183653571-rc223fa0pqfz-rtrmadp-3-iran-nuclear-sites.JPG,No url,No credit,"Israel has bombed strategic sites in Iran, which it said could soon produce a nuclear weapon. Tehran had announced it was increasing its production of enriched uranium, amid stalled talks with the United States.",Free to read,Type not labeled
Sweden sounds the alarm on loneliness,https://img.lemde.fr/2025/06/17/0/0/3499/2333/664/442/75/0/0a45d1b_upload-1-z3dke3ynnzpn-2012-11-27t120000z-1014311128-gm1e8br177j01-rtrmadp-3-environment-seas.JPG,No url,No credit,"While residents of the Scandinavian country – often considered some of the most solitary people in the world – tend to adapt to isolation better than others, young people and the elderly are still suffering. The issue is gaining attention as the country works to rebuild its civil defense system.",Subscribers only,Type not labeled
"'For the Iranian that I am, nothing justifies violating my country's territorial integrity'",No image,No url,No credit,No subtitle,Subscribe,Type not labeled
Age-based employment discrimination must end,No image,No url,No credit,No subtitle,Free to read,Type not labeled
"'To gain financial autonomy, Europe must create a large-scale debt market'",No image,No url,No credit,No subtitle,Subscribe,Type not labeled
